"(4, 32), neighbors:2500, best: (29, 7), C, 0"
"(4, 33), neighbors:2500, best: (29, 8), C, 0"
"(4, 34), neighbors:2500, best: (29, 9), C, 0"
"(4, 35), neighbors:2500, best: (29, 10), D, 0"
"(4, 36), neighbors:2500, best: (29, 11), C, 0"
"(4, 37), neighbors:2500, best: (29, 12), D, 0"
"(4, 38), neighbors:2500, best: (29, 13), C, 0"
"(4, 39), neighbors:2500, best: (29, 14), C, 0"
"(4, 40), neighbors:2500, best: (29, 15), D, 0"
"(4, 41), neighbors:2500, best: (29, 16), C, 0"
"(4, 42), neighbors:2500, best: (29, 17), D, 0"
"(4, 43), neighbors:2500, best: (29, 18), C, 0"
"(4, 44), neighbors:2500, best: (29, 19), C, 0"
"(4, 45), neighbors:2500, best: (29, 20), D, 0"
"(4, 46), neighbors:2500, best: (29, 21), C, 0"
"(4, 47), neighbors:2500, best: (29, 22), D, 0"
"(4, 48), neighbors:2500, best: (29, 23), D, 0"
"(4, 49), neighbors:2500, best: (29, 24), C, 0"
"(5, 0), neighbors:2500, best: (30, 25), C, 0"
"(5, 1), neighbors:2500, best: (30, 26), D, 0"
"(5, 2), neighbors:2500, best: (30, 27), C, 0"
"(5, 3), neighbors:2500, best: (30, 28), C, 0"
"(5, 4), neighbors:2500, best: (30, 29), C, 0"
"(5, 5), neighbors:2500, best: (30, 30), C, 0"
"(5, 6), neighbors:2500, best: (30, 31), D, 0"
"(5, 7), neighbors:2500, best: (30, 32), C, 0"
"(5, 8), neighbors:2500, best: (30, 33), C, 0"
"(5, 9), neighbors:2500, best: (30, 34), D, 0"
"(5, 10), neighbors:2500, best: (30, 35), C, 0"
"(5, 11), neighbors:2500, best: (30, 36), D, 0"
"(5, 12), neighbors:2500, best: (30, 37), C, 0"
"(5, 13), neighbors:2500, best: (30, 38), C, 0"
"(5, 14), neighbors:2500, best: (30, 39), D, 0"
"(5, 15), neighbors:2500, best: (30, 40), D, 0"
"(5, 16), neighbors:2500, best: (30, 41), C, 0"
"(5, 17), neighbors:2500, best: (30, 42), D, 0"
"(5, 18), neighbors:2500, best: (30, 43), C, 0"
"(5, 19), neighbors:2500, best: (30, 44), D, 0"
"(5, 20), neighbors:2500, best: (30, 45), D, 0"
"(5, 21), neighbors:2500, best: (30, 46), D, 0"
"(5, 22), neighbors:2500, best: (30, 47), D, 0"
"(5, 23), neighbors:2500, best: (30, 48), C, 0"
"(5, 24), neighbors:2500, best: (30, 49), D, 0"
"(5, 25), neighbors:2500, best: (30, 0), D, 0"
"(5, 26), neighbors:2500, best: (30, 1), D, 0"
"(5, 27), neighbors:2500, best: (30, 2), D, 0"
"(5, 28), neighbors:2500, best: (30, 3), C, 0"
"(5, 29), neighbors:2500, best: (30, 4), C, 0"
"(5, 30), neighbors:2500, best: (30, 5), C, 0"
"(5, 31), neighbors:2500, best: (30, 6), D, 0"
"(5, 32), neighbors:2500, best: (30, 7), C, 0"
"(5, 33), neighbors:2500, best: (30, 8), C, 0"
"(5, 34), neighbors:2500, best: (30, 9), C, 0"
"(5, 35), neighbors:2500, best: (30, 10), D, 0"
"(5, 36), neighbors:2500, best: (30, 11), D, 0"
"(5, 37), neighbors:2500, best: (30, 12), C, 0"
"(5, 38), neighbors:2500, best: (30, 13), C, 0"
"(5, 39), neighbors:2500, best: (30, 14), C, 0"
"(5, 40), neighbors:2500, best: (30, 15), C, 0"
"(5, 41), neighbors:2500, best: (30, 16), D, 0"
"(5, 42), neighbors:2500, best: (30, 17), D, 0"
"(5, 43), neighbors:2500, best: (30, 18), C, 0"
"(5, 44), neighbors:2500, best: (30, 19), D, 0"
"(5, 45), neighbors:2500, best: (30, 20), D, 0"
"(5, 46), neighbors:2500, best: (30, 21), D, 0"
"(5, 47), neighbors:2500, best: (30, 22), D, 0"
"(5, 48), neighbors:2500, best: (30, 23), D, 0"
"(5, 49), neighbors:2500, best: (30, 24), C, 0"
"(6, 0), neighbors:2500, best: (31, 25), D, 0"
"(6, 1), neighbors:2500, best: (31, 26), C, 0"
"(6, 2), neighbors:2500, best: (31, 27), D, 0"
"(6, 3), neighbors:2500, best: (31, 28), D, 0"
"(6, 4), neighbors:2500, best: (31, 29), D, 0"
"(6, 5), neighbors:2500, best: (31, 30), C, 0"
"(6, 6), neighbors:2500, best: (31, 31), D, 0"
"(6, 7), neighbors:2500, best: (31, 32), C, 0"
"(6, 8), neighbors:2500, best: (31, 33), D, 0"
"(6, 9), neighbors:2500, best: (31, 34), C, 0"
"(6, 10), neighbors:2500, best: (31, 35), C, 0"
"(6, 11), neighbors:2500, best: (31, 36), C, 0"
"(6, 12), neighbors:2500, best: (31, 37), C, 0"
"(6, 13), neighbors:2500, best: (31, 38), C, 0"
"(6, 14), neighbors:2500, best: (31, 39), C, 0"
"(6, 15), neighbors:2500, best: (31, 40), C, 0"
"(6, 16), neighbors:2500, best: (31, 41), D, 0"
"(6, 17), neighbors:2500, best: (31, 42), D, 0"
"(6, 18), neighbors:2500, best: (31, 43), C, 0"
"(6, 19), neighbors:2500, best: (31, 44), C, 0"
"(6, 20), neighbors:2500, best: (31, 45), C, 0"
"(6, 21), neighbors:2500, best: (31, 46), D, 0"
"(6, 22), neighbors:2500, best: (31, 47), D, 0"
"(6, 23), neighbors:2500, best: (31, 48), C, 0"
"(6, 24), neighbors:2500, best: (31, 49), C, 0"
"(6, 25), neighbors:2500, best: (31, 0), C, 0"
"(6, 26), neighbors:2500, best: (31, 1), D, 0"
"(6, 27), neighbors:2500, best: (31, 2), D, 0"
"(6, 28), neighbors:2500, best: (31, 3), C, 0"
"(6, 29), neighbors:2500, best: (31, 4), C, 0"
"(6, 30), neighbors:2500, best: (31, 5), C, 0"
"(6, 31), neighbors:2500, best: (31, 6), D, 0"
"(6, 32), neighbors:2500, best: (31, 7), C, 0"
"(6, 33), neighbors:2500, best: (31, 8), D, 0"
"(6, 34), neighbors:2500, best: (31, 9), D, 0"
"(6, 35), neighbors:2500, best: (31, 10), D, 0"
"(6, 36), neighbors:2500, best: (31, 11), D, 0"
"(6, 37), neighbors:2500, best: (31, 12), C, 0"
"(6, 38), neighbors:2500, best: (31, 13), C, 0"
"(6, 39), neighbors:2500, best: (31, 14), C, 0"
"(6, 40), neighbors:2500, best: (31, 15), D, 0"
"(6, 41), neighbors:2500, best: (31, 16), C, 0"
"(6, 42), neighbors:2500, best: (31, 17), C, 0"
"(6, 43), neighbors:2500, best: (31, 18), C, 0"
"(6, 44), neighbors:2500, best: (31, 19), D, 0"
"(6, 45), neighbors:2500, best: (31, 20), C, 0"
"(6, 46), neighbors:2500, best: (31, 21), D, 0"
"(6, 47), neighbors:2500, best: (31, 22), D, 0"
"(6, 48), neighbors:2500, best: (31, 23), C, 0"
"(6, 49), neighbors:2500, best: (31, 24), D, 0"
"(7, 0), neighbors:2500, best: (32, 25), C, 0"
"(7, 1), neighbors:2500, best: (32, 26), C, 0"
"(7, 2), neighbors:2500, best: (32, 27), C, 0"
"(7, 3), neighbors:2500, best: (32, 28), C, 0"
"(7, 4), neighbors:2500, best: (32, 29), C, 0"
"(7, 5), neighbors:2500, best: (32, 30), C, 0"
"(7, 6), neighbors:2500, best: (32, 31), D, 0"
"(7, 7), neighbors:2500, best: (32, 32), D, 0"
"(7, 8), neighbors:2500, best: (32, 33), C, 0"
"(7, 9), neighbors:2500, best: (32, 34), C, 0"
"(7, 10), neighbors:2500, best: (32, 35), C, 0"
"(7, 11), neighbors:2500, best: (32, 36), D, 0"
"(7, 12), neighbors:2500, best: (32, 37), D, 0"
"(7, 13), neighbors:2500, best: (32, 38), D, 0"
"(7, 14), neighbors:2500, best: (32, 39), C, 0"
"(7, 15), neighbors:2500, best: (32, 40), D, 0"
"(7, 16), neighbors:2500, best: (32, 41), D, 0"
"(7, 17), neighbors:2500, best: (32, 42), C, 0"
"(7, 18), neighbors:2500, best: (32, 43), C, 0"
"(7, 19), neighbors:2500, best: (32, 44), C, 0"
"(7, 20), neighbors:2500, best: (32, 45), D, 0"
"(7, 21), neighbors:2500, best: (32, 46), C, 0"
"(7, 22), neighbors:2500, best: (32, 47), C, 0"
"(7, 23), neighbors:2500, best: (32, 48), D, 0"
"(7, 24), neighbors:2500, best: (32, 49), C, 0"
"(7, 25), neighbors:2500, best: (32, 0), D, 0"
"(7, 26), neighbors:2500, best: (32, 1), D, 0"
"(7, 27), neighbors:2500, best: (32, 2), C, 0"
"(7, 28), neighbors:2500, best: (32, 3), C, 0"
"(7, 29), neighbors:2500, best: (32, 4), C, 0"
"(7, 30), neighbors:2500, best: (32, 5), D, 0"
"(7, 31), neighbors:2500, best: (32, 6), C, 0"
"(7, 32), neighbors:2500, best: (32, 7), D, 0"
"(7, 33), neighbors:2500, best: (32, 8), D, 0"
"(7, 34), neighbors:2500, best: (32, 9), D, 0"
"(7, 35), neighbors:2500, best: (32, 10), C, 0"
"(7, 36), neighbors:2500, best: (32, 11), D, 0"
"(7, 37), neighbors:2500, best: (32, 12), D, 0"
"(7, 38), neighbors:2500, best: (32, 13), C, 0"
"(7, 39), neighbors:2500, best: (32, 14), C, 0"
"(7, 40), neighbors:2500, best: (32, 15), D, 0"
"(7, 41), neighbors:2500, best: (32, 16), D, 0"
"(7, 42), neighbors:2500, best: (32, 17), C, 0"
"(7, 43), neighbors:2500, best: (32, 18), C, 0"
"(7, 44), neighbors:2500, best: (32, 19), D, 0"
"(7, 45), neighbors:2500, best: (32, 20), D, 0"
"(7, 46), neighbors:2500, best: (32, 21), D, 0"
"(7, 47), neighbors:2500, best: (32, 22), D, 0"
"(7, 48), neighbors:2500, best: (32, 23), C, 0"
"(7, 49), neighbors:2500, best: (32, 24), C, 0"
"(8, 0), neighbors:2500, best: (33, 25), C, 0"
"(8, 1), neighbors:2500, best: (33, 26), D, 0"
"(8, 2), neighbors:2500, best: (33, 27), D, 0"
"(8, 3), neighbors:2500, best: (33, 28), C, 0"
"(8, 4), neighbors:2500, best: (33, 29), D, 0"
"(8, 5), neighbors:2500, best: (33, 30), D, 0"
"(8, 6), neighbors:2500, best: (33, 31), D, 0"
"(8, 7), neighbors:2500, best: (33, 32), D, 0"
"(8, 8), neighbors:2500, best: (33, 33), D, 0"
"(8, 9), neighbors:2500, best: (33, 34), D, 0"
"(8, 10), neighbors:2500, best: (33, 35), C, 0"
"(8, 11), neighbors:2500, best: (33, 36), D, 0"
"(8, 12), neighbors:2500, best: (33, 37), C, 0"
"(8, 13), neighbors:2500, best: (33, 38), C, 0"
"(8, 14), neighbors:2500, best: (33, 39), D, 0"
"(8, 15), neighbors:2500, best: (33, 40), D, 0"
"(8, 16), neighbors:2500, best: (33, 41), D, 0"
"(8, 17), neighbors:2500, best: (33, 42), D, 0"
"(8, 18), neighbors:2500, best: (33, 43), C, 0"
"(8, 19), neighbors:2500, best: (33, 44), D, 0"
"(8, 20), neighbors:2500, best: (33, 45), C, 0"
"(8, 21), neighbors:2500, best: (33, 46), D, 0"
"(8, 22), neighbors:2500, best: (33, 47), D, 0"
"(8, 23), neighbors:2500, best: (33, 48), C, 0"
"(8, 24), neighbors:2500, best: (33, 49), C, 0"
"(8, 25), neighbors:2500, best: (33, 0), D, 0"
"(8, 26), neighbors:2500, best: (33, 1), D, 0"
"(8, 27), neighbors:2500, best: (33, 2), D, 0"
"(8, 28), neighbors:2500, best: (33, 3), D, 0"
"(8, 29), neighbors:2500, best: (33, 4), D, 0"
"(8, 30), neighbors:2500, best: (33, 5), C, 0"
"(8, 31), neighbors:2500, best: (33, 6), D, 0"
"(8, 32), neighbors:2500, best: (33, 7), C, 0"
"(8, 33), neighbors:2500, best: (33, 8), D, 0"
"(8, 34), neighbors:2500, best: (33, 9), C, 0"
"(8, 35), neighbors:2500, best: (33, 10), D, 0"
"(8, 36), neighbors:2500, best: (33, 11), D, 0"
"(8, 37), neighbors:2500, best: (33, 12), C, 0"
"(8, 38), neighbors:2500, best: (33, 13), D, 0"
"(8, 39), neighbors:2500, best: (33, 14), C, 0"
